State,City,Year,week,precip_sum,temp_mean,aqi_proxy_pm25
Haryana,Chandigarh,2025,42,0.0,23.228571428571428,34.13333333333333
Haryana,Chandigarh,2025,43,0.1,22.571428571428573,36.47976190476191
Haryana,Chandigarh,2025,44,0.0,22.042857142857144,48.82202380952381
Haryana,Chandigarh,2025,45,1.4,20.24285714285714,38.32380952380952
Haryana,Chandigarh,2025,46,0.0,17.442857142857143,30.148809523809526
Haryana,Chandigarh,2025,47,0.0,16.47142857142857,67.38869047619048
Haryana,Chandigarh,2025,48,0.0,15.157142857142857,49.41904761904762
Haryana,Chandigarh,2025,49,0.0,14.414285714285715,54.398809523809526
Haryana,Chandigarh,2025,50,0.0,15.471428571428572,57.01428571428571
Haryana,Chandigarh,2025,51,0.0,14.757142857142856,77.82142857142857
Haryana,Chandigarh,2025,52,0.0,13.771428571428572,78.13571428571429
Himachal Pradesh,Shimla,2025,1,0.0,7.075,28.143229166666668
Himachal Pradesh,Shimla,2025,2,25.5,2.5,29.106547619047618
Himachal Pradesh,Shimla,2025,3,7.9,3.1285714285714286,26.080357142857142
Himachal Pradesh,Shimla,2025,4,1.9,5.028571428571429,31.15892857142857
Himachal Pradesh,Shimla,2025,5,1.2000000000000002,4.642857142857143,40.40595238095238
Himachal Pradesh,Shimla,2025,6,7.499999999999999,4.371428571428572,25.19345238095238
Himachal Pradesh,Shimla,2025,7,10.2,4.771428571428571,21.313690476190477
Himachal Pradesh,Shimla,2025,8,63.5,4.6571428571428575,22.89166666666667
Himachal Pradesh,Shimla,2025,9,89.3,5.171428571428572,17.785714285714285
Himachal Pradesh,Shimla,2025,10,14.4,6.128571428571428,17.92083333333333
Himachal Pradesh,Shimla,2025,11,52.8,8.2,15.68452380952381
Himachal Pradesh,Shimla,2025,12,4.8,8.657142857142857,13.962499999999999
Himachal Pradesh,Shimla,2025,13,0.0,11.685714285714285,21.023809523809526
Himachal Pradesh,Shimla,2025,14,0.1,12.114285714285714,14.735119047619047
Himachal Pradesh,Shimla,2025,15,14.9,13.842857142857143,22.382738095238096
Himachal Pradesh,Shimla,2025,16,11.2,14.314285714285715,29.532738095238095
Himachal Pradesh,Shimla,2025,17,10.5,15.528571428571428,16.571428571428573
Himachal Pradesh,Shimla,2025,18,29.3,14.4,30.029166666666665
Himachal Pradesh,Shimla,2025,19,54.0,13.785714285714286,24.4
Himachal Pradesh,Shimla,2025,20,4.5,17.414285714285715,19.39345238095238
Himachal Pradesh,Shimla,2025,21,16.8,17.04285714285714,30.981547619047618
Himachal Pradesh,Shimla,2025,22,7.199999999999999,17.157142857142855,29.67142857142857
Himachal Pradesh,Shimla,2025,23,37.2,15.428571428571429,30.998809523809523
Himachal Pradesh,Shimla,2025,24,8.0,20.47142857142857,43.93273809523809
Himachal Pradesh,Shimla,2025,25,38.2,17.614285714285717,38.70654761904762
